iter	RMSE
0	72524.4716
1	68423.15648
2	65472.40859
3	62067.32116
4	58969.98284
5	56030.02549
6	53100.2127
7	50677.24534
8	48444.0039
9	46345.26085
10	44383.18343
11	42833.2723
12	41289.08864
13	39846.90722
14	38555.45562
15	37163.44896
16	35894.35528
17	34944.91989
18	33966.20809
19	33200.4944
20	32452.21156
21	31666.69908
22	30966.45528
23	30363.31986
24	29842.71578
25	29275.82024
26	28799.00311
27	28329.1168
28	27798.30759
29	27278.255
30	26887.10382
31	26434.365
32	26037.47186
33	25688.47456
34	25306.55121
35	24991.44704
36	24673.49056
37	24354.73064
38	23977.47136
39	23691.15605
40	23382.89688
41	23055.44646
42	22890.74464
43	22626.51692
44	22390.20536
45	22152.49388
46	21924.82151
47	21700.11331
48	21542.66425
49	21326.40332
50	21204.41204
51	21038.22167
52	20858.02157
53	20692.56655
54	20465.39215
55	20354.62944
56	20195.0196
57	20039.91892
58	19946.69315
59	19801.94706
60	19699.42304
61	19498.83107
62	19386.66453
63	19264.84127
64	19163.97546
65	19039.58841
66	18955.59982
67	18814.1466
68	18656.37455
69	18535.93348
70	18440.484
71	18341.21262
72	18313.88039
73	18201.95906
74	18040.66416
75	18006.38435
76	17918.37228
77	17893.6213
78	17749.90864
79	17698.11717
80	17656.38731
81	17627.91998
82	17600.92677
83	17492.81162
84	17406.99738
85	17268.68556
86	17160.05309
87	17024.45053
88	16910.69163
89	16774.22872
90	16747.1633
91	16736.2087
92	16721.73964
93	16607.31118
94	16487.28378
95	16370.4587
96	16342.32893
97	16332.1353
98	16322.51969
99	16184.5389
100	16104.05337
101	16089.96547
102	15996.97433
103	15862.30003
104	15780.50515
105	15671.20384
106	15524.27668
107	15428.68354
108	15331.98762
109	15238.02952
110	15140.87765
111	15011.61976
112	14889.51647
113	14822.0425
114	14803.69031
115	14686.34402
116	14598.39083
117	14495.3068
118	14422.63107
119	14330.79625
120	14220.66456
121	14110.4849
122	14028.74653
123	13981.65916
124	13909.29551
125	13833.80027
126	13758.80495
127	13717.20873
128	13630.96053
129	13577.48926
130	13465.44381
131	13373.03662
132	13309.18665
133	13210.08749
134	13121.4952
135	13061.05976
136	12934.54759
137	12844.52354
138	12786.82482
139	12700.11337
140	12615.32685
141	12504.5759
142	12410.01776
143	12340.29855
144	12244.47034
145	12216.33038
146	12147.67776
147	12109.55868
148	12025.37408
149	11924.45431
150	11854.69738
151	11773.42431
152	11699.13697
153	11625.97802
154	11561.95291
155	11459.77205
156	11452.77224
157	11382.51585
158	11347.5242
159	11286.132
160	11281.69646
161	11243.5803
162	11158.75494
163	11114.44498
164	11037.79884
165	10992.21361
166	10932.37838
167	10880.72979
168	10820.28154
169	10757.72145
170	10717.96927
171	10714.17452
172	10659.72607
173	10616.4278
174	10593.01659
175	10563.90531
176	10539.4756
177	10473.3881
178	10414.14131
179	10367.72631
180	10286.16598
181	10268.88706
182	10217.61427
183	10195.28304
184	10156.86516
185	10135.21323
186	10069.67957
187	10046.00091
188	10025.51686
189	9952.79703
190	9920.349379
191	9875.088396
192	9859.912218
193	9802.051657
194	9761.998494
195	9734.574673
196	9684.225032
197	9681.278548
198	9620.295533
199	9594.330959
