iter	Passed	Remaining
0	8	1749
1	10	1057
2	17	1120
3	24	1178
4	31	1209
5	37	1205
6	43	1207
7	51	1231
8	57	1227
9	64	1221
10	70	1215
11	77	1209
12	83	1198
13	90	1201
14	98	1214
15	105	1208
16	112	1208
17	119	1210
18	123	1173
19	131	1184
20	137	1175
21	144	1165
22	150	1155
23	156	1145
24	163	1141
25	169	1131
26	175	1125
27	182	1119
28	188	1108
29	194	1103
30	201	1099
31	208	1094
32	214	1085
33	221	1079
34	227	1074
35	233	1062
36	239	1054
37	246	1049
38	252	1040
39	258	1034
40	264	1027
41	271	1020
42	276	1011
43	282	1002
44	290	1001
45	297	997
46	304	989
47	310	982
48	317	977
49	324	973
50	331	967
51	337	960
52	345	958
53	353	954
54	360	949
55	362	931
56	369	927
57	376	921
58	382	914
59	389	908
60	396	903
61	403	898
62	410	891
63	416	884
64	423	878
65	430	873
66	436	866
67	442	859
68	449	853
69	455	846
70	462	840
71	469	833
72	475	828
73	484	824
74	490	817
75	497	811
76	504	805
77	510	798
78	517	792
79	519	779
80	525	771
81	533	768
82	541	763
83	548	756
84	555	751
85	564	747
86	576	748
87	585	744
88	594	741
89	605	740
90	613	735
91	623	731
92	631	726
93	638	720
94	645	713
95	652	706
96	658	699
97	664	692
98	670	684
99	677	677
100	683	669
101	690	663
102	697	656
103	703	649
104	711	643
105	717	636
106	723	628
107	729	621
108	735	613
109	740	606
110	746	598
111	753	592
112	759	584
113	766	578
114	773	571
115	779	564
116	785	557
117	792	550
118	797	542
119	804	536
120	811	529
121	817	522
122	823	515
123	829	508
124	836	501
125	842	494
126	848	487
127	853	480
128	859	473
129	865	466
130	871	459
131	877	452
132	883	445
133	889	438
134	896	431
135	902	424
136	908	417
137	914	410
138	920	403
139	926	396
140	931	389
141	937	383
142	943	375
143	948	368
144	955	362
145	960	355
146	966	348
147	972	341
148	977	334
149	983	327
150	989	321
151	996	314
152	1001	307
153	1007	300
154	1014	294
155	1021	288
156	1028	281
157	1038	276
158	1048	270
159	1060	265
160	1062	257
161	1069	250
162	1078	244
163	1089	239
164	1097	232
165	1106	226
166	1113	220
167	1121	213
168	1129	207
169	1138	200
170	1145	194
171	1146	186
172	1155	180
173	1162	173
174	1170	167
175	1177	160
176	1185	154
177	1193	147
178	1202	141
179	1210	134
180	1218	127
181	1228	121
182	1237	114
183	1244	108
184	1254	101
185	1261	94
186	1270	88
187	1277	81
188	1284	74
189	1293	68
190	1301	61
191	1308	54
192	1314	47
193	1323	40
194	1333	34
195	1340	27
196	1350	20
197	1357	13
198	1365	6
199	1374	0
