OverallQual,TotalSf,GrLivArea,1stFlrSF,LotArea,TotalLivArea,TotalBathrooms,YearBuilt,HouseAge,GarageArea
7,1311.4283331941908,7.428333194190806,7.428333194190806,9.249657234353132,1311.4283331941908,2.0,1970,38,530
5,553.9782137426307,6.9782137426306985,6.9782137426306985,8.209580483475577,553.9782137426307,2.0,2005,1,525
7,1545.6398758338264,7.344719054149673,6.639875833826536,9.0642735958414,763.3447190541497,2.5,2009,1,614
9,1912.5527620842145,7.552762084214147,7.552762084214147,9.364862411412354,1912.5527620842145,2.0,2006,1,788
7,1639.7190131543853,7.415776975415394,6.71901315438526,9.275003885301905,806.4157769754154,3.5,1996,13,550
6,1255.2086003379602,7.208600337960199,7.208600337960199,9.10731047165664,1255.2086003379602,2.5,1964,44,520
6,1851.9622434642663,7.520776415062797,6.962243464266207,9.325364048544964,1062.5207764150628,2.5,1992,18,462
5,1119.9295167707637,7.379008127628304,6.92951677076365,9.53430615650521,540.3790081276283,1.5,1958,50,300
6,1504.5395859556177,7.312553498102598,6.539585955617669,9.47516315028188,698.3125534981026,2.5,1995,11,409
7,1953.899723107285,7.57455848420248,6.899723107284872,9.437714959818209,998.5745584842024,2.5,2004,6,678
5,1105.0021559544036,7.002155954403621,7.002155954403621,8.908018322784887,1105.0021559544036,2.0,1955,53,260
6,1060.96129604591,6.961296045910167,6.961296045910167,9.18512512283512,1060.96129604591,2.5,1969,39,460
5,934.8341087388138,6.834108738813838,6.834108738813838,8.699681400989514,934.8341087388138,1.0,1957,51,288
7,1720.0335064842875,7.507141079727608,7.033506484287697,9.11833472618016,1033.5071410797275,3.0,1925,83,240
7,1829.431299675156,8.03365842788615,7.431299675155903,9.671807670199632,832.0336584278862,3.5,1920,89,672
4,1795.0076006139518,7.489412083508719,7.007600613951853,9.328212292571072,1111.4894120835088,2.0,1957,52,304
5,1028.9304947659516,6.930494765951626,6.930494765951626,8.881975184248867,1028.9304947659516,2.0,1910,99,280
7,1281.1507014575925,7.150701457592526,7.150701457592526,9.08421009483197,1281.1507014575925,3.0,2005,2,508
9,2499.0343879299157,7.826044013518965,7.034387929915503,9.323579767582691,1129.8260440135189,2.5,2005,3,656
9,2124.2977682825317,7.675081857716334,7.29776828253138,9.310276200588785,1447.6750818577163,3.5,2000,9,736
8,2038.0290875641497,7.616775808698373,7.029087564149662,9.156306483483696,1135.6167758086983,3.5,2002,6,577
6,1534.966967138614,7.509335266016592,6.966967138613983,9.51162944783418,771.5093352660166,1.0,1919,88,520
5,1014.9167150203536,6.9167150203536085,6.9167150203536085,9.343646739284408,1014.9167150203536,1.0,1954,52,275
5,446.5439118455648,6.543911845564792,6.543911845564792,8.361941906144946,446.5439118455648,1.0,1913,94,352
6,1735.4552984856832,7.455298485683291,7.455298485683291,9.444700778495555,1735.4552984856832,2.0,1976,30,574
7,1595.3708601665369,7.370860166536716,7.370860166536716,9.236495329453032,1595.3708601665369,2.0,1999,7,472
5,1399.2392149737798,7.239214973779806,7.239214973779806,9.336267928573973,1399.2392149737798,2.5,1957,53,528
10,4468.788211557847,8.406708458240965,7.788211557847076,9.656563472556517,2404.406708458241,4.5,1996,11,813
7,1623.0578979374118,7.585788821732034,7.057897937411856,9.38873757187798,815.5857888217321,2.5,1977,30,534
7,1353.316548177183,7.316548177182976,7.316548177182976,8.065579427282092,1353.316548177183,2.0,2005,4,457
5,1283.1522688560326,7.152268856032539,7.152268856032539,9.166597449028265,1283.1522688560326,1.0,1958,51,350
9,1807.496097345176,7.496097345175956,7.496097345175956,9.386308454797962,1807.496097345176,2.0,2007,2,702
6,822.70563909486,6.705639094860003,6.705639094860003,9.37940781309172,822.70563909486,2.0,1990,17,0
5,6.947937068614969,6.947937068614969,6.947937068614969,8.881975184248867,6.947937068614969,1.0,1950,56,625
5,930.8297937375124,6.829793737512425,6.829793737512425,8.986071187374463,930.8297937375124,1.0,1975,33,280
6,838.7250336421669,6.725033642166843,6.725033642166843,8.885717651712119,838.7250336421669,1.0,1954,54,528
7,1866.863803391453,7.54274354536855,6.863803391452954,9.32500744695431,937.5427435453686,2.5,1998,8,431
7,2165.6948480723845,7.69484807238461,7.69484807238461,9.59458184363272,2165.6948480723845,2.0,1990,19,701
5,1045.946975992135,6.946975992135418,6.946975992135418,9.360999248261296,1045.946975992135,2.5,1965,45,504
5,1277.5806391372848,7.148345743900068,6.580639137284949,9.965851836732678,727.1483457439001,2.0,1948,60,312
5,1273.869014450666,7.221105098182496,6.8690144506657065,9.036701015565065,868.2211050981825,2.0,1900,108,384
7,1655.1204443723925,7.646831391430482,7.120444372392488,9.93037288131751,798.6468313914305,2.5,1986,22,542
5,870.7627295069319,6.762729506931879,6.762729506931879,9.650142492488795,870.7627295069319,2.0,1972,37,338
6,1559.4383835300443,7.803026643632217,7.438383530044307,9.173572647783969,811.8030266436322,2.0,1919,91,336
6,942.9612960459102,6.961296045910167,6.961296045910167,9.082620630373812,942.9612960459102,2.0,1963,47,480
5,1127.021976423072,7.02197642307216,7.02197642307216,9.03634406392822,1127.021976423072,1.0,2007,0,0
7,1623.3883278595772,7.388327859577107,7.388327859577107,9.069813136839208,1623.3883278595772,2.0,2005,1,834
5,1079.9791452750687,6.97914527506881,6.97914527506881,9.238927828828094,1079.9791452750687,2.5,1965,42,515
5,1396.2370590261248,7.237059026124737,7.237059026124737,9.211439767419485,1396.2370590261248,2.0,1974,32,418
4,867.7592552706637,6.759255270663693,6.759255270663693,9.42084437974393,867.7592552706637,1.0,1940,69,539
7,1126.356107660696,7.035268599281097,6.356107660695892,8.881975184248867,567.0352685992812,2.0,1936,73,576
8,2835.290974778143,7.947678571301568,7.290974778142981,9.20693457884135,1473.9476785713016,4.0,2006,1,1052
8,1602.3883278595772,7.388327859577107,7.388327859577107,8.592300663903043,1602.3883278595772,3.0,1995,15,608
5,1444.271008538281,7.271008538280992,7.271008538280992,9.28442691532888,1444.271008538281,3.0,1976,31,528
7,1637.396948602621,7.396948602621014,7.396948602621014,9.18512512283512,1637.396948602621,2.0,2000,9,451
8,1807.496097345176,7.496097345175956,7.496097345175956,9.570250078424843,1807.496097345176,3.0,2002,4,765
6,1295.9985096422506,7.526178913346146,6.9985096422506015,9.169622538697624,535.5261789133461,2.5,1976,31,512
6,1630.7945865808765,7.424165281042028,6.794586580876499,10.113870026547724,848.4241652810421,2.5,1999,10,502
7,2090.863803391453,7.642524134232902,6.863803391452954,9.224539091375997,963.6425241342328,3.5,2004,6,618
5,1117.4248690239056,7.013915474810528,6.424869023905388,9.114379980830272,623.0139154748106,1.5,1941,67,200
3,276.59304453414245,6.593044534142437,6.593044534142437,8.326274787396764,276.59304453414245,1.0,1935,73,0
6,1369.3696007205265,7.369600720526409,7.369600720526409,9.743553514619803,1369.3696007205265,2.0,1979,30,435
9,2223.711996507048,7.711996507047669,7.711996507047669,9.76560384517274,2223.711996507048,3.0,2008,1,1166
4,864.7557689219842,6.755768921984255,6.755768921984255,9.002824076547672,864.7557689219842,1.0,1971,35,0
