iter	RMSE
0	75529.67231
1	73671.04988
2	71863.52194
3	70151.79355
4	68330.62056
5	66536.3507
6	64782.65106
7	63185.38216
8	61659.02592
9	60228.38344
10	58976.31529
11	57592.64858
12	56250.99283
13	55043.74026
14	53925.16995
15	52892.20523
16	51814.01377
17	50768.42264
18	49792.91675
19	48845.90136
20	47963.33629
21	47158.36898
22	46293.62954
23	45479.59502
24	44727.84238
25	44034.8741
26	43380.26227
27	42648.55834
28	42018.3398
29	41410.90841
30	40810.90109
31	40227.52233
32	39671.10264
33	39031.83941
34	38524.81171
35	38069.09743
36	37514.37542
37	37047.56448
38	36514.01574
39	36051.19048
40	35579.27763
41	35224.7632
42	34866.93709
43	34428.07123
44	34089.26589
45	33697.05488
46	33347.44161
47	32990.38099
48	32689.00044
49	32324.91298
50	32045.26689
51	31773.72253
52	31452.21535
53	31172.34831
54	30942.13019
55	30716.30117
56	30420.45339
57	30169.89132
58	29969.21088
59	29787.29566
60	29568.15169
61	29344.25491
62	29176.13592
63	28943.92055
64	28754.87271
65	28535.41951
66	28320.23313
67	28145.51668
68	27981.22369
69	27848.20442
70	27677.80219
71	27528.12718
72	27365.25296
73	27193.07886
74	27070.79051
75	26900.65764
76	26775.56151
77	26664.33309
78	26535.31418
79	26417.28069
80	26292.99589
81	26171.64784
82	26032.12739
83	25918.84682
84	25813.08648
85	25677.3114
86	25535.19896
87	25409.26101
88	25324.19366
89	25233.93646
90	25133.41525
91	25089.61143
92	24991.92228
93	24914.51341
94	24821.23179
95	24719.92763
96	24609.78707
97	24536.07654
98	24451.28888
99	24382.81955
100	24292.39109
101	24206.86149
102	24108.26881
103	24054.49454
104	23980.46512
105	23875.82893
106	23786.66756
107	23690.35974
108	23629.99795
109	23520.58513
110	23446.90802
111	23381.04582
112	23315.4897
113	23243.24466
114	23195.49338
115	23131.80378
116	23064.71409
117	23007.46781
118	22935.63168
119	22887.5532
120	22844.48352
121	22781.1572
122	22709.04399
123	22631.11997
124	22592.05696
125	22542.88531
126	22485.55822
127	22451.31682
128	22392.75956
129	22346.90518
130	22284.94216
131	22224.19622
132	22177.98068
133	22128.47272
134	22081.71275
135	22022.16108
136	21984.44026
137	21934.93567
138	21875.76846
139	21842.17457
140	21800.20008
141	21754.68818
142	21692.27753
143	21655.80622
144	21627.31702
145	21591.91089
146	21543.30015
147	21512.74742
148	21463.06569
149	21422.03662
150	21369.8158
151	21338.42628
152	21291.50972
153	21256.40332
154	21220.16089
155	21173.65706
156	21141.06943
157	21104.84903
158	21064.12623
159	21037.30514
160	20998.6313
161	20960.51861
162	20920.69643
163	20871.24451
164	20827.92444
165	20790.27438
166	20768.16065
167	20723.47699
168	20689.57808
169	20651.48388
170	20608.60448
171	20569.41695
172	20540.54099
173	20521.68111
174	20485.99379
175	20460.69419
176	20433.1088
177	20412.51047
178	20388.57294
179	20357.52141
180	20316.70949
181	20286.64527
182	20252.33444
183	20231.02723
184	20213.56838
185	20180.99996
186	20148.00809
187	20104.54264
188	20071.63582
189	20038.57364
190	20007.44469
191	19972.87073
192	19939.27047
193	19914.43058
194	19876.19994
195	19847.6936
196	19812.71247
197	19765.60604
198	19738.29712
199	19715.69987
200	19694.06232
201	19665.91462
202	19629.24363
203	19602.42655
204	19565.59923
205	19536.7222
206	19522.20867
