,Datetime,PJME_MW,year,month,hour,day_num,day_of_month,week_of_year,is_weekend,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24
0,2002-01-09 01:00:00,29082.0,2002,1,1,2,9,2,0,30943.0,29445.0,28121.0,34352.75,3579.2274640109767
1,2002-01-09 02:00:00,28154.0,2002,1,2,2,9,2,0,29082.0,28670.0,27437.0,34337.625,3601.5654665412685
2,2002-01-09 03:00:00,27829.0,2002,1,3,2,9,2,0,28154.0,28375.0,27301.0,34316.125,3638.223698365432
3,2002-01-09 04:00:00,27759.0,2002,1,4,2,9,2,0,27829.0,28542.0,27533.0,34293.375,3678.473523345864
4,2002-01-09 05:00:00,28308.0,2002,1,5,2,9,2,0,27759.0,29261.0,28405.0,34260.75,3734.7431580393522
5,2002-01-09 06:00:00,30169.0,2002,1,6,2,9,2,0,28308.0,31348.0,30748.0,34221.041666666664,3794.7958583939762
6,2002-01-09 07:00:00,34261.0,2002,1,7,2,9,2,0,30169.0,35335.0,34725.0,34171.916666666664,3840.956028145199
7,2002-01-09 08:00:00,36714.0,2002,1,8,2,9,2,0,34261.0,37841.0,37313.0,34127.166666666664,3833.0644190490357
8,2002-01-09 09:00:00,36494.0,2002,1,9,2,9,2,0,36714.0,37417.0,37322.0,34080.208333333336,3792.2749393444196
9,2002-01-09 10:00:00,36417.0,2002,1,10,2,9,2,0,36494.0,36824.0,37035.0,34041.75,3761.519966253237
10,2002-01-09 11:00:00,36529.0,2002,1,11,2,9,2,0,36417.0,36504.0,36758.0,34024.791666666664,3749.3288788350746
11,2002-01-09 12:00:00,36181.0,2002,1,12,2,9,2,0,36529.0,35741.0,36284.0,34025.833333333336,3750.0510218751265
12,2002-01-09 13:00:00,35698.0,2002,1,13,2,9,2,0,36181.0,35158.0,35548.0,34044.166666666664,3759.8634418618567
13,2002-01-09 14:00:00,35342.0,2002,1,14,2,9,2,0,35698.0,34591.0,34978.0,34066.666666666664,3768.4247160557316
14,2002-01-09 15:00:00,34750.0,2002,1,15,2,9,2,0,35342.0,34078.0,34304.0,34097.958333333336,3776.0781412231395
15,2002-01-09 16:00:00,34709.0,2002,1,16,2,9,2,0,34750.0,34006.0,34169.0,34125.958333333336,3778.414464792558
16,2002-01-09 17:00:00,35477.0,2002,1,17,2,9,2,0,34709.0,35270.0,35674.0,34155.25,3780.1686211527435
17,2002-01-09 18:00:00,37984.0,2002,1,18,2,9,2,0,35477.0,38779.0,39532.0,34163.875,3783.057715571867
18,2002-01-09 19:00:00,38111.0,2002,1,19,2,9,2,0,37984.0,39450.0,40002.0,34130.75,3744.170730151304
19,2002-01-09 20:00:00,37316.0,2002,1,20,2,9,2,0,38111.0,38898.0,39484.0,34074.958333333336,3670.7184284274804
20,2002-01-09 21:00:00,36319.0,2002,1,21,2,9,2,0,37316.0,38178.0,38693.0,34009.041666666664,3593.74055436692
21,2002-01-09 22:00:00,34456.0,2002,1,22,2,9,2,0,36319.0,36282.0,37016.0,33931.583333333336,3519.2392695342405
22,2002-01-09 23:00:00,31626.0,2002,1,23,2,9,2,0,34456.0,33530.0,34332.0,33855.5,3485.795162232499
23,2002-01-10 00:00:00,29096.0,2002,1,0,3,10,2,0,31626.0,30943.0,31451.0,33776.166666666664,3515.068997611716
24,2002-01-10 01:00:00,27144.0,2002,1,1,3,10,2,0,29096.0,29082.0,29414.0,33699.208333333336,3599.0114340657847
25,2002-01-10 02:00:00,26163.0,2002,1,2,3,10,2,0,27144.0,28154.0,28537.0,33618.458333333336,3726.590503502783
